"Año","Región","Diferencia_Hombres_Mujeres"
2010,"Región Metropolitana de Santiago",24.0576635764884
2010,"Región de Antofagasta",30.8888125143649
2010,"Región de Arica y Parinacota",22.1901402586317
2010,"Región de Atacama",33.3120046649907
2010,"Región de Aysén del Gral. Carlos Ibáñez del Campo",24.9091995299224
2010,"Región de Coquimbo",29.7414831264628
2010,"Región de La Araucanía",29.0374218796663
2010,"Región de Los Lagos",28.2410394540621
2010,"Región de Los Ríos",26.740271206744
2010,"Región de Magallanes y La Antártica Chilena",24.2600975625353
2010,"Región de Tarapacá",24.7252933164109
2010,"Región de Valparaíso",26.0912517261424
2010,"Región de Ñuble",27.71068747411
2010,"Región del Biobío",27.3752776567052
2010,"Región del Libertador Gral. Bernardo O'Higgins",30.401920062137
2010,"Región del Maule",31.4708329070946
2010,"Total país",26.5712725460328
2011,"Región Metropolitana de Santiago",23.1467093970506
2011,"Región de Antofagasta",31.1632086054204
2011,"Región de Arica y Parinacota",23.6160849632723
2011,"Región de Atacama",31.9656354723689
2011,"Región de Aysén del Gral. Carlos Ibáñez del Campo",21.6404337780771
2011,"Región de Coquimbo",27.0242922746733
2011,"Región de La Araucanía",28.3734898197636
2011,"Región de Los Lagos",28.1076899236498
2011,"Región de Los Ríos",28.2889113776668
2011,"Región de Magallanes y La Antártica Chilena",23.9889802022989
2011,"Región de Tarapacá",23.5197160597823
2011,"Región de Valparaíso",25.3034208070543
2011,"Región de Ñuble",29.8266384551343
2011,"Región del Biobío",25.8450122205475
2011,"Región del Libertador Gral. Bernardo O'Higgins",28.5595513724702
2011,"Región del Maule",29.7415186406929
2011,"Total país",25.6787954102656
2012,"Región Metropolitana de Santiago",22.4083779612536
2012,"Región de Antofagasta",32.4804200378338
2012,"Región de Arica y Parinacota",25.2710211257844
2012,"Región de Atacama",31.3476559869662
2012,"Región de Aysén del Gral. Carlos Ibáñez del Campo",20.934498657671
2012,"Región de Coquimbo",28.1877747913994
2012,"Región de La Araucanía",27.7099859175158
2012,"Región de Los Lagos",28.2229545545422
2012,"Región de Los Ríos",28.6377230976262
2012,"Región de Magallanes y La Antártica Chilena",26.3026249238591
2012,"Región de Tarapacá",21.041611183824
2012,"Región de Valparaíso",24.0478329998853
2012,"Región de Ñuble",27.0554363645945
2012,"Región del Biobío",26.0712685932775
2012,"Región del Libertador Gral. Bernardo O'Higgins",27.3572340420313
2012,"Región del Maule",29.7756781566819
2012,"Total país",25.1894604682524
2013,"Región Metropolitana de Santiago",21.4428472189852
2013,"Región de Antofagasta",33.4073917188117
2013,"Región de Arica y Parinacota",21.1305650231623
