"DTI_CL_INDICADOR","Indicador","DTI_CL_TRIMESTRE_MOVIL","Trimestre.Móvil","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","Value"
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","_T","Total país","_T","Ambos sexos",54.1389999335035
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","_T","Total país","M","Hombres",68.0492209359497
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","_T","Total país","F","Mujeres",40.9217933857263
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",59.1882101605862
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL15","Región de Arica y Parinacota","M","Hombres",71.1380121053242
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL15","Región de Arica y Parinacota","F","Mujeres",47.6973499884406
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL01","Región de Tarapacá","_T","Ambos sexos",62.3385232241998
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL01","Región de Tarapacá","M","Hombres",73.9169493375242
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL01","Región de Tarapacá","F","Mujeres",50.3795190533093
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL02","Región de Antofagasta","_T","Ambos sexos",56.4636299280464
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL02","Región de Antofagasta","M","Hombres",73.4765565693002
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL02","Región de Antofagasta","F","Mujeres",38.8895000009051
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL03","Región de Atacama","_T","Ambos sexos",54.5820788012184
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL03","Región de Atacama","M","Hombres",71.8668381530855
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL03","Región de Atacama","F","Mujeres",36.9154771793021
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL04","Región de Coquimbo","_T","Ambos sexos",52.5841909806887
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL04","Región de Coquimbo","M","Hombres",67.6333170207953
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL04","Región de Coquimbo","F","Mujeres",38.310941211506
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL05","Región de Valparaíso","_T","Ambos sexos",51.9076742854328
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL05","Región de Valparaíso","M","Hombres",64.9735123099312
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL05","Región de Valparaíso","F","Mujeres",39.7125178325552
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",55.8515307434384
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL13","Región Metropolitana de Santiago","M","Hombres",68.2315367046969
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL13","Región Metropolitana de Santiago","F","Mujeres",44.3189832362894
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",54.5866540810823
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL06","Región del Libertador Gral. Bernardo O'Higgins","M","Hombres",70.8934587137956
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL06","Región del Libertador Gral. Bernardo O'Higgins","F","Mujeres",38.4257886173188
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL07","Región del Maule","_T","Ambos sexos",51.6520838761008
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL07","Región del Maule","M","Hombres",67.4612165435211
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL07","Región del Maule","F","Mujeres",36.4434698353133
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL16","Región de Ñuble","_T","Ambos sexos",50.0693116727368
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL16","Región de Ñuble","M","Hombres",65.7028778022363
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL16","Región de Ñuble","F","Mujeres",35.3196654459378
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL08","Región del Biobío","_T","Ambos sexos",50.9078124138832
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL08","Región del Biobío","M","Hombres",66.55616592928
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL08","Región del Biobío","F","Mujeres",36.2402911369791
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL09","Región de La Araucanía","_T","Ambos sexos",52.5871217493283
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL09","Región de La Araucanía","M","Hombres",68.7255458315358
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL09","Región de La Araucanía","F","Mujeres",37.3091555959817
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL14","Región de Los Ríos","_T","Ambos sexos",49.295411280938
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL14","Región de Los Ríos","M","Hombres",62.8750706243493
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL14","Región de Los Ríos","F","Mujeres",36.1866654427084
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL10","Región de Los Lagos","_T","Ambos sexos",54.209303282625
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL10","Región de Los Lagos","M","Hombres",67.9114933956978
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL10","Región de Los Lagos","F","Mujeres",40.7260379078217
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","_T","Ambos sexos",61.9005305295096
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","M","Hombres",75.6227282703419
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","F","Mujeres",47.4685248407545
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL12","Región de Magallanes y La Antártica Chilena","_T","Ambos sexos",54.0874969727967
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL12","Región de Magallanes y La Antártica Chilena","M","Hombres",68.5472044042406
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V02","2010 ene-mar","CHL12","Región de Magallanes y La Antártica Chilena","F","Mujeres",39.1113713263111
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","_T","Total país","_T","Ambos sexos",54.38856856448
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","_T","Total país","M","Hombres",68.2820339118114
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","_T","Total país","F","Mujeres",41.1863749468874
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",58.7417269616052
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL15","Región de Arica y Parinacota","M","Hombres",70.3763563529776
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL15","Región de Arica y Parinacota","F","Mujeres",47.5531758757463
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL01","Región de Tarapacá","_T","Ambos sexos",63.7339919261405
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL01","Región de Tarapacá","M","Hombres",75.2549035026748
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL01","Región de Tarapacá","F","Mujeres",51.8356179453464
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL02","Región de Antofagasta","_T","Ambos sexos",58.0352477541093
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL02","Región de Antofagasta","M","Hombres",74.3233244613394
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL02","Región de Antofagasta","F","Mujeres",41.211826612485
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL03","Región de Atacama","_T","Ambos sexos",55.3381773704701
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL03","Región de Atacama","M","Hombres",72.7311440154369
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL03","Región de Atacama","F","Mujeres",37.5634534421498
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL04","Región de Coquimbo","_T","Ambos sexos",52.0921344476438
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL04","Región de Coquimbo","M","Hombres",68.1962298873367
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL04","Región de Coquimbo","F","Mujeres",36.820198615785
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL05","Región de Valparaíso","_T","Ambos sexos",52.3071341230935
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL05","Región de Valparaíso","M","Hombres",65.8155921106799
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL05","Región de Valparaíso","F","Mujeres",39.6979475623846
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",56.8509755765764
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL13","Región Metropolitana de Santiago","M","Hombres",69.2456072290273
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL13","Región Metropolitana de Santiago","F","Mujeres",45.3023389455256
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",55.4244600133689
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL06","Región del Libertador Gral. Bernardo O'Higgins","M","Hombres",71.2411288551538
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL06","Región del Libertador Gral. Bernardo O'Higgins","F","Mujeres",39.7491377144529
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL07","Región del Maule","_T","Ambos sexos",50.723558787896
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL07","Región del Maule","M","Hombres",66.5749389782126
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL07","Región del Maule","F","Mujeres",35.4759323939459
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL16","Región de Ñuble","_T","Ambos sexos",46.1521370102162
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL16","Región de Ñuble","M","Hombres",60.3078634331748
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL16","Región de Ñuble","F","Mujeres",32.8008141369708
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL08","Región del Biobío","_T","Ambos sexos",49.2840262297946
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL08","Región del Biobío","M","Hombres",65.3146033887949
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL08","Región del Biobío","F","Mujeres",34.2570303942189
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL09","Región de La Araucanía","_T","Ambos sexos",53.2862583450802
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL09","Región de La Araucanía","M","Hombres",68.5552261999058
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL09","Región de La Araucanía","F","Mujeres",38.8332758492968
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL14","Región de Los Ríos","_T","Ambos sexos",48.9089185033307
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL14","Región de Los Ríos","M","Hombres",62.4634215623928
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL14","Región de Los Ríos","F","Mujeres",35.8274330395466
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL10","Región de Los Lagos","_T","Ambos sexos",54.215294104655
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL10","Región de Los Lagos","M","Hombres",67.6153807794591
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL10","Región de Los Lagos","F","Mujeres",41.027895707695
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","_T","Ambos sexos",61.0328167177259
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","M","Hombres",74.9001315897031
